"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Herb Plews","- - -","346","1107","4","125","82","3","6.7%","12.0%",".087",".295",".262",".312",".348",".296","77","-2.3","-32.1","-26.7","-2.4","1010395"
"Johnny Schmitz","- - -","365","650","2","32","32","0","3.1%","22.6%",".036",".185",".141",".170",".177",".165","-12","0.0","-89.1","44.6","-2.4","1011585"
"Johnny Cueto","- - -","293","614","0","26","18","0","2.3%","27.0%",".002",".152",".104",".129",".105",".109","-44","-0.2","-106.9","64.5","-2.4","6893"
"Jeff Liefer","- - -","288","844","31","89","113","2","6.6%","26.4%",".168",".279",".230",".281",".398",".293","72","-1.2","-30.9","-22.5","-2.4","245"
"Tom Umphlett","- - -","361","1252","6","108","111","7","6.0%","8.5%",".068",".266",".246",".292",".314",".280","60","0.3","-60.5","-4.1","-2.4","1013278"
"Kevin Cash","- - -","246","714","12","51","58","0","6.9%","27.3%",".095",".238",".183",".248",".278",".238","34","-5.1","-63.2","14.8","-2.4","1593"
"Gary Thurman","- - -","424","879","2","121","64","65","6.9%","21.3%",".056",".313",".243",".297",".299",".275","66","5.6","-29.1","-22.3","-2.4","1013051"
"Don Thompson","- - -","217","343","1","52","19","4","9.0%","9.3%",".036",".241",".218",".296",".254",".267","49","-3.5","-26.1","-9.0","-2.4","1013004"
"Tommy Brown","- - -","494","1384","31","151","159","7","6.1%","10.3%",".114",".251",".241",".292",".355",".302","72","0.0","-46.9","-21.7","-2.4","1001563"
"Irv Young","- - -","209","496","0","21","18","2","2.2%","",".029","",".126",".148",".156",".150","-3","-1.2","-57.3","20.5","-2.4","1014380"
"Bill Hart","- - -","229","775","4","59","67","18","2.2%","11.9%",".075",".226",".207",".227",".282",".239","42","-0.7","-71.0","9.8","-2.4","1005438"
"Fred Toney","- - -","336","796","3","40","47","3","2.6%","23.4%",".039",".207",".159",".182",".198",".182","6","-0.5","-83.8","36.5","-2.4","1013116"
"Cap Peterson","- - -","536","1289","19","106","122","4","7.8%","15.1%",".095",".259",".230",".292",".325",".279","80","-0.2","-28.7","-31.5","-2.4","1010224"
"Dave Davenport","- - -","259","549","1","22","25","0","8.0%","42.1%",".019",".200",".104",".188",".123",".167","0","-1.1","-61.9","24.5","-2.4","1003016"
"Mick Kelleher","- - -","622","1202","0","108","65","9","6.2%","11.1%",".041",".241",".213",".266",".253",".242","40","-1.9","-83.7","23.5","-2.4","1006779"
"Juan Centeno","- - -","111","353","6","25","35","0","6.2%","19.8%",".104",".272",".227",".278",".331",".267","63","-3.9","-19.5","-15.8","-2.4","7168"
"Johnny Walker","Athletics","125","476","2","41","51","5","1.9%","6.7%",".068",".267",".251",".270",".319",".273","44","2.1","-34.3","-6.8","-2.4","1013524"
"Ken Harvey","Royals","271","1078","27","102","126","3","5.6%","18.6%",".137",".317",".274",".322",".411",".319","86","-12.2","-31.6","-30.3","-2.4","604"
"Ken Heintzelman","- - -","320","504","0","25","33","0","4.4%","22.4%",".011",".171",".127",".169",".139",".153","-21","-0.1","-74.1","34.3","-2.4","1005596"
"Hank Allen","- - -","389","938","6","104","57","15","5.2%","13.6%",".072",".274",".241",".281",".312",".269","72","0.0","-28.9","-20.3","-2.5","1000143"
"Grant Briggs","- - -","110","402","0","46","22","9","5.2%","24.6%",".045",".111",".164",".212",".209",".210","36","-1.0","-39.2","-3.9","-2.5","1001427"
"Luis Ordaz","- - -","206","496","0","51","30","12","6.9%","10.7%",".030",".245",".218",".274",".248",".241","34","1.2","-40.9","-1.2","-2.5","298"
"Billy Loes","- - -","316","398","0","14","11","1","3.8%","24.1%",".012",".151",".110",".146",".121",".129","-32","-0.1","-64.5","28.5","-2.5","1007699"
"Tony Cusick","- - -","95","341","0","27","15","1","2.3%","13.7%",".027",".230",".193",".214",".220",".207","53","-1.0","-24.3","-14.7","-2.5","1002911"
"Howie Schultz","- - -","470","1698","24","163","208","15","4.8%","12.8%",".108",".267",".241",".281",".349",".297","72","2.4","-55.6","-20.4","-2.5","1011634"
"Bill Hutchison","- - -","383","1422","12","150","133","26","5.0%","20.4%",".078",".265",".216",".255",".293",".263","52","-5.0","-111.8","24.4","-2.5","1006235"
"Julio Becquer","- - -","488","1029","12","100","114","8","4.0%","11.7%",".108",".267",".244",".276",".352",".275","64","-2.4","-47.1","-6.7","-2.5","1000760"
"John Russell","- - -","448","1189","34","113","129","3","7.1%","29.9%",".145",".298",".225",".282",".371",".290","78","-0.9","-31.3","-31.9","-2.5","1011317"
"Frank Croucher","- - -","296","1016","7","94","86","4","5.5%","12.6%",".073",".285",".251",".296",".324",".292","57","-0.5","-59.7","-2.1","-2.5","1002815"
"Ray Benge","- - -","353","706","0","45","38","0","1.8%","9.8%",".018",".210",".188",".204",".206",".193","-2","-0.1","-96.1","45.9","-2.5","1000831"
"Sam McDowell","- - -","400","851","2","34","36","0","1.9%","36.0%",".022",".249",".154",".171",".176",".159","-5","-0.2","-101.0","53.6","-2.5","1008476"
"Lee Meadows","- - -","498","1200","5","80","75","0","2.8%","22.7%",".050",".233",".180",".208",".230",".209","12","-0.2","-121.8","61.4","-2.5","1008705"
"John Kelly","- - -","122","479","1","48","5","","2.1%","23.2%",".055",".176",".226",".242",".281",".239","78","0.0","-16.1","-28.7","-2.5","1006802"
"Dick Coffman","- - -","472","443","0","21","16","0","5.0%","34.1%",".033",".205",".128",".173",".160",".162","-18","-0.1","-70.9","28.8","-2.5","1002391"
"Bob Purkey","- - -","385","748","6","53","42","0","5.1%","43.4%",".051",".204",".110",".163",".161",".154","-16","0.2","-103.9","56.2","-2.5","1010572"
"Jake Elmore","- - -","197","478","4","34","33","4","10.0%","15.1%",".065",".249",".215",".297",".280",".262","60","-4.1","-26.2","-12.8","-2.5","7290"
"Jack Billingham","- - -","396","656","0","21","23","0","4.1%","31.4%",".014",".175",".111",".152",".125",".135","-22","0.1","-91.9","48.0","-2.5","1000970"
"Red Faber","White Sox","670","1550","3","98","70","7","10.9%","30.9%",".027",".212",".134",".240",".161",".211","17","1.7","-162.0","83.6","-2.5","1003889"
"Dazzy Vance","- - -","440","1112","7","68","75","1","7.1%","25.8%",".047",".205",".150",".219",".198",".206","10","0.8","-132.1","67.4","-2.5","1013342"
"Larry Benton","- - -","462","824","2","54","42","1","3.6%","22.0%",".030",".216",".165",".202",".195",".191","4","0.3","-104.6","51.3","-2.5","1000855"
"Ivy Griffin","Athletics","185","693","0","65","39","4","3.6%","9.4%",".049",".286",".257",".301",".306",".290","59","0.1","-37.3","-10.1","-2.5","1005043"
"Chick Fewster","- - -","644","2293","6","282","167","57","10.5%","11.5%",".068",".295",".258",".346",".326",".325","81","-7.5","-65.6","-38.4","-2.5","1004020"
"Stan Benjamin","- - -","241","817","5","77","41","23","3.9%","14.1%",".090",".263",".229",".260",".318",".270","60","3.9","-33.8","-15.4","-2.5","1000835"
"Carlos Martinez","- - -","465","1586","25","145","161","10","4.7%","13.2%",".101",".283",".258",".293",".359",".291","78","-2.2","-43.8","-32.3","-2.5","1008158"
"Mike Kahoe","- - -","410","1384","4","103","105","21","2.8%","0.0%",".063",".000",".212",".237",".276",".245","54","-2.4","-82.4","7.5","-2.5","1006668"
"Manny Castillo","- - -","236","767","3","63","73","3","3.8%","7.2%",".072",".254",".242",".270",".314",".260","54","-3.0","-44.7","-3.9","-2.5","1002065"
"Chad Hermansen","- - -","189","541","13","49","34","9","7.0%","31.1%",".134",".265",".195",".255",".329",".258","49","-0.2","-36.4","-7.7","-2.5","991"
"Johnny Morrison","- - -","297","566","0","37","31","0","2.7%","20.0%",".035",".211",".164",".190",".200",".185","-6","0.2","-79.0","33.0","-2.5","1009217"
"Rip Collins","- - -","316","653","1","43","36","0","5.1%","30.5%",".050",".249",".165",".214",".215",".206","7","0.0","-82.0","33.0","-2.6","1002463"
