"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Babe Ruth","- - -","2503","10616","714","2174","2217","123","19.4%","12.5%",".348",".340",".342",".474",".690",".513","197","-23.4","1347.3","-18.6","168.4","1011327"
"Barry Bonds","- - -","2986","12606","762","2227","1996","514","20.3%","12.2%",".309",".285",".298",".444",".607",".435","173","30.4","1173.8","67.6","164.4","1109"
"Willie Mays","- - -","2992","12493","660","2062","1903","338","11.7%","12.2%",".256",".299",".302",".384",".557",".409","154","32.9","837.5","170.1","149.9","1008315"
"Ty Cobb","- - -","3035","13072","117","2246","1937","892","9.6%","4.1%",".146",".378",".366",".433",".512",".445","165","60.6","1036.0","-90.0","149.3","1002378"
"Honus Wagner","- - -","2792","11739","101","1736","1732","722","8.2%","7.6%",".139",".318",".327",".391",".466",".408","147","56.9","704.7","184.4","138.1","1013485"
"Hank Aaron","- - -","3298","13940","755","2174","2297","240","10.1%","9.9%",".250",".291",".305",".374",".555",".403","153","24.9","882.0","-61.2","136.3","1000001"
"Tris Speaker","- - -","2789","11988","117","1882","1529","432","11.5%","2.3%",".156",".350",".345",".428",".500",".436","157","4.1","815.2","24.4","130.6","1012309"
"Ted Williams","Red Sox","2292","9791","521","1798","1839","24","20.6%","7.2%",".289",".328",".344",".482",".634",".493","188","-1.6","1064.5","-125.1","130.4","1014040"
"Rogers Hornsby","- - -","2259","9475","301","1579","1584","135","11.0%","7.2%",".218",".365",".358",".434",".577",".459","173","-1.8","862.1","126.5","130.3","1006030"
"Stan Musial","Cardinals","3026","12712","475","1949","1951","78","12.6%","5.5%",".228",".320",".331",".417",".559",".435","158","6.0","901.2","-77.6","126.8","1009405"
"Eddie Collins","- - -","2826","12037","47","1821","1300","744","12.5%","3.2%",".096",".343",".333",".424",".429",".409","144","42.3","663.4","68.3","120.5","1002451"
"Lou Gehrig","Yankees","2164","9660","493","1888","1995","102","15.6%","8.2%",".292",".332",".340",".447",".632",".477","173","-27.2","954.0","-90.7","116.3","1004598"
"Alex Rodriguez","- - -","2784","12207","696","2021","2086","329","11.0%","18.7%",".255",".314",".295",".380",".550",".395","141","35.4","665.1","69.0","113.7","1274"
"Mickey Mantle","Yankees","2401","9909","536","1677","1509","153","17.5%","17.3%",".259",".318",".298",".421",".557",".428","170","21.8","842.6","-78.1","112.3","1008082"
"Mel Ott","Giants","2730","11337","511","1859","1860","89","15.1%","7.9%",".229",".294",".304",".414",".533",".430","156","12.5","810.3","-42.2","110.5","1009904"
"Mike Schmidt","Phillies","2404","10062","548","1506","1595","174","15.0%","18.7%",".260",".280",".267",".380",".527",".395","147","-0.7","538.3","150.7","106.5","1011586"
"Rickey Henderson","- - -","3081","13346","297","2295","1115","1406","16.4%","12.7%",".140",".305",".279",".401",".419",".372","132","144.4","650.9","-56.1","106.3","194"
"Frank Robinson","- - -","2808","11743","586","1829","1812","204","12.1%","13.0%",".243",".295",".294",".389",".537",".404","153","15.5","731.6","-131.5","104.0","1011066"
"Nap Lajoie","- - -","2480","10460","83","1504","1599","380","4.9%","4.0%",".128",".295",".338",".380",".467",".401","144","-3.0","543.8","86.3","102.2","1007259"
"Jimmie Foxx","- - -","2317","9670","534","1751","1922","87","15.0%","13.6%",".284",".336",".325",".428",".609",".460","158","-18.6","761.7","-54.2","101.8","1004285"
"Joe Morgan","- - -","2649","11329","268","1650","1133","689","16.5%","9.0%",".156",".278",".271",".392",".427",".372","135","79.0","525.5","14.0","98.8","1009179"
"Eddie Mathews","- - -","2391","10101","512","1509","1453","68","14.3%","14.7%",".238",".273",".271",".376",".509",".389","143","3.6","532.7","62.8","96.1","1008236"
"Carl Yastrzemski","Red Sox","3308","13991","452","1816","1844","168","13.2%","10.0%",".177",".290",".285",".379",".462",".375","130","-6.7","463.3","-0.5","94.8","1014326"
"Cal Ripken","Orioles","3001","12883","431","1647","1695","36","8.8%","10.1%",".172",".277",".276",".340",".447",".346","112","-11.0","165.4","310.1","92.5","1010978"
"Cap Anson","- - -","2523","11319","97","1996","2076","276","8.7%","2.8%",".112",".339",".333",".393",".445",".393","134","-35.3","567.1","64.2","91.2","1000272"
"Al Kaline","Tigers","2834","11597","399","1622","1583","137","11.0%","8.8%",".182",".296",".297",".376",".480",".378","134","7.5","459.8","33.6","88.9","1006678"
"Wade Boggs","- - -","2440","10740","118","1513","1013","24","13.1%","6.9%",".115",".344",".328",".415",".443",".381","132","-12.2","399.0","105.8","88.3","1001124"
"Albert Pujols","- - -","2692","11686","633","1773","1982","111","10.9%","10.4%",".252",".290",".302",".382",".554",".392","146","-36.3","633.9","-134.2","88.1","1177"
"Roger Connor","- - -","1997","8837","138","1620","1322","244","11.3%","5.1%",".169",".324",".317",".397",".486",".409","143","-25.0","553.7","83.5","86.2","1002537"
"George Brett","Royals","2707","11625","317","1583","1596","201","9.4%","7.8%",".183",".307",".305",".369",".487",".374","132","1.2","439.6","-10.2","84.6","1001400"
"George Davis","- - -","2368","10151","73","1539","1437","616","8.6%","4.4%",".110",".313",".295",".361",".405",".366","118","39.8","307.5","230.9","84.6","1003049"
"Chipper Jones","Braves","2499","10614","468","1619","1623","150","14.2%","13.3%",".226",".313",".303",".401",".529",".397","141","-3.7","559.1","-35.3","84.6","97"
"Adrian Beltre","- - -","2933","12130","477","1524","1707","121","7.0%","14.3%",".194",".300",".286",".339",".480",".350","115","-11.1","204.7","218.4","84.1","639"
"Joe DiMaggio","Yankees","1736","7671","361","1390","1537","30","10.3%","4.8%",".254",".304",".325",".398",".579",".439","152","-0.5","529.5","32.3","83.1","1003311"
"Roberto Clemente","Pirates","2433","10212","240","1416","1305","83","6.1%","12.0%",".158",".343",".317",".359",".475",".365","129","2.4","337.2","84.4","80.6","1002340"
"Jeff Bagwell","Astros","2150","9431","449","1517","1529","202","14.9%","16.5%",".244",".317",".297",".408",".540",".405","149","6.5","594.6","-82.1","80.2","547"
"Pete Rose","- - -","3562","15876","160","2165","1314","198","9.9%","7.2%",".106",".319",".303",".375",".409",".354","121","-13.7","354.7","-143.0","80.2","1011217"
"Brooks Robinson","Orioles","2896","11782","268","1232","1357","28","7.3%","8.4%",".133",".271",".267",".322",".401",".322","104","0.4","56.1","359.8","80.2","1011055"
"Dan Brouthers","- - -","1673","7658","106","1523","1296","256","11.0%","3.1%",".177",".344",".342",".423",".519",".436","156","-22.8","638.2","-16.1","79.5","1001486"
"Charlie Gehringer","Tigers","2323","10237","184","1774","1427","181","11.6%","3.6%",".160",".320",".320",".404",".480",".405","124","-8.1","341.0","105.1","78.6","1004596"
"Ken Griffey Jr.","- - -","2671","11304","630","1662","1836","184","11.6%","15.7%",".254",".287",".284",".370",".538",".384","131","-7.3","444.1","-39.6","77.7","327"
"Bill Dahlen","- - -","2443","10390","84","1589","1233","547","10.2%","7.6%",".110",".317",".272",".358",".382",".357","108","25.9","167.5","274.1","77.5","1002924"
"Johnny Bench","Reds","2158","8673","389","1091","1376","68","10.3%","14.7%",".208",".273",".267",".342",".476",".362","125","-1.0","251.8","161.4","74.8","1000826"
"Frankie Frisch","- - -","2311","10100","105","1532","1244","419","7.2%","2.7%",".116",".318",".316",".369",".432",".370","112","58.6","223.9","210.1","74.8","1004364"
"Paul Waner","- - -","2549","10762","113","1627","1309","104","10.1%","3.5%",".140",".339",".333",".404",".473",".403","135","15.8","505.4","-78.4","74.7","1013597"
"Ed Delahanty","- - -","1835","8389","101","1599","1464","455","8.8%","5.3%",".159",".344",".346",".411",".505",".428","144","12.0","574.2","-53.4","73.7","1003155"
"Derek Jeter","Yankees","2747","12602","260","1923","1311","358","8.6%","14.6%",".130",".350",".310",".377",".440",".360","119","24.0","332.7","-19.8","73.1","826"
"Fred Clarke","- - -","2242","9819","67","1619","1015","506","8.9%","5.4%",".117",".320",".312",".386",".429",".390","131","19.7","404.1","-26.1","72.8","1002280"
"Reggie Jackson","- - -","2820","11416","563","1551","1702","228","12.0%","22.7%",".228",".298",".262",".356",".490",".374","139","2.9","499.7","-185.0","72.7","1006308"
"Luke Appling","White Sox","2422","10243","45","1319","1116","179","12.7%","5.2%",".088",".326",".310",".399",".398",".378","115","-14.5","183.5","178.6","72.7","1000284"
"Arky Vaughan","- - -","1817","7721","96","1173","926","118","12.1%","3.6%",".136",".321",".318",".406",".453",".399","138","19.9","385.4","109.9","72.6","1013377"
"Rod Carew","- - -","2469","10550","92","1424","1015","353","9.6%","9.7%",".101",".359",".328",".393",".429",".369","132","1.3","380.5","-35.4","72.3","1001942"
"Frank Thomas","- - -","2322","10075","521","1494","1704","32","16.5%","13.9%",".254",".304",".301",".419",".555",".416","154","-38.2","653.0","-267.4","72.1","255"
"Eddie Murray","- - -","3026","12817","504","1627","1917","110","10.4%","11.8%",".189",".291",".287",".359",".476",".365","127","3.4","410.4","-146.0","72.0","1009386"
"Sam Crawford","- - -","2517","10594","97","1391","1525","366","7.2%","4.1%",".143",".307",".309",".362",".452",".387","138","-3.1","443.3","-142.8","71.1","1002748"
"Miguel Cabrera","- - -","2264","9687","465","1388","1635","38","11.2%","17.1%",".235",".345",".316",".395",".551",".399","149","-62.8","506.5","-141.5","71.0","1744"
"Ron Santo","- - -","2243","9397","342","1138","1331","35","11.8%","14.3%",".187",".292",".277",".362",".464",".367","126","-5.4","263.2","69.5","70.9","1011447"
"Billy Hamilton","- - -","1591","7584","40","1690","736","912","15.7%","4.5%",".088",".369",".344",".455",".432",".433","142","85.5","592.3","-49.8","70.3","1005270"
"Rafael Palmeiro","- - -","2831","12046","569","1663","1835","97","11.2%","11.2%",".226",".283",".288",".371",".515",".380","130","-11.2","442.8","-145.4","70.0","1266"
"Scott Rolen","- - -","2038","8518","316","1211","1287","118","10.6%","16.6%",".210",".305",".281",".364",".490",".368","122","10.5","252.4","180.3","69.9","970"
"Gary Carter","- - -","2295","9019","324","1025","1225","39","9.4%","11.1%",".176",".262",".262",".335",".439",".342","116","-9.1","151.3","222.1","69.4","1002015"
"Al Simmons","- - -","2215","9515","307","1507","1827","88","6.5%","7.7%",".201",".340",".334",".380",".535",".410","130","-10.4","390.1","-8.2","69.3","1011978"
"Ivan Rodriguez","- - -","2543","10270","311","1354","1332","127","5.0%","14.4%",".168",".321",".296",".334",".464",".344","104","-24.9","37.0","320.0","69.2","1275"
"Bobby Grich","- - -","2008","8220","224","1033","864","104","13.2%","15.5%",".158",".296",".266",".371",".424",".361","129","-10.2","254.9","134.1","69.2","1005033"
"Jim Thome","- - -","2543","10313","612","1583","1699","19","16.9%","24.7%",".278",".322",".276",".402",".554",".406","145","-35.3","554.5","-200.0","69.1","409"
"Harry Heilmann","- - -","2148","8960","183","1291","1539","113","9.6%","6.1%",".179",".351",".342",".410",".520",".427","144","-5.1","519.2","-129.1","69.0","1005590"
"Larry Walker","- - -","1988","8030","383","1355","1311","230","11.4%","15.3%",".252",".332",".313",".400",".565",".412","140","21.5","427.9","3.5","68.7","455"
"Johnny Mize","- - -","1884","7371","359","1118","1337","28","11.6%","7.1%",".250",".297",".312",".397",".562",".433","157","2.7","511.1","-58.2","68.6","1009014"
"Carlton Fisk","- - -","2499","9853","376","1276","1330","128","8.6%","14.1%",".188",".280",".269",".341",".457",".354","117","2.5","191.1","133.2","68.3","1004101"
"Lou Whitaker","Tigers","2390","9967","244","1386","1084","143","12.0%","11.0%",".150",".290",".276",".363",".426",".353","118","-2.7","204.8","127.1","68.1","1013846"
"Carlos Beltran","- - -","2586","11031","435","1582","1587","312","9.8%","16.3%",".207",".299",".279",".350",".486",".358","118","67.5","312.4","4.3","67.9","589"
"Paul Molitor","- - -","2683","12167","234","1782","1307","504","9.0%","10.2%",".142",".326",".306",".369",".448",".361","122","46.6","366.1","-114.4","67.7","1009040"
"Ozzie Smith","- - -","2573","10778","28","1257","793","580","9.9%","5.5%",".066",".275",".262",".337",".328",".305","90","55.2","-69.4","375.3","67.6","1012186"
"Willie McCovey","- - -","2588","9691","521","1229","1555","26","13.9%","16.0%",".245",".273",".270",".374",".515",".388","145","-0.4","498.7","-206.6","67.4","1008423"
"Barry Larkin","Reds","2180","9057","198","1329","960","379","10.4%","9.0%",".150",".306",".295",".371",".444",".360","118","43.4","240.8","132.5","67.0","335"
"Andruw Jones","- - -","2196","8664","434","1204","1289","152","10.3%","20.2%",".231",".273",".254",".337",".486",".352","111","-5.3","116.3","278.8","67.0","96"
"Joe Cronin","- - -","2124","8838","170","1233","1424","87","12.0%","7.9%",".166",".315",".301",".390",".468",".393","120","-17.5","225.7","140.7","66.6","1002796"
"Jesse Burkett","- - -","2066","9605","75","1720","952","389","10.7%","6.0%",".108",".367",".338",".415",".446",".411","137","-18.0","512.2","-119.4","66.6","1001682"
"Robin Yount","Brewers","2856","12249","251","1632","1406","271","7.9%","11.0%",".144",".303",".285",".342",".430",".343","113","11.6","206.0","27.3","66.5","1014396"
"Manny Ramirez","- - -","2302","9774","555","1544","1831","38","13.6%","18.5%",".273",".338",".312",".411",".585",".418","153","-35.0","624.8","-276.6","66.4","210"
"Tim Raines","- - -","2502","10359","170","1571","980","807","12.8%","9.3%",".131",".312",".294",".385",".425",".361","125","100.4","408.2","-109.6","66.4","1406"
"Mark McGwire","- - -","1874","7660","583","1167","1414","12","17.2%","20.8%",".325",".255",".263",".394",".588",".415","157","-2.5","555.0","-138.5","66.3","1008559"
"Harmon Killebrew","- - -","2435","9831","573","1283","1584","19","15.9%","17.3%",".252",".254",".256",".376",".509",".389","142","-0.1","477.0","-158.9","66.1","1006905"
"Craig Biggio","Astros","2850","12504","291","1844","1175","414","9.3%","14.0%",".152",".311",".281",".363",".433",".352","115","38.3","276.9","-23.0","65.8","549"
"Graig Nettles","- - -","2700","10227","390","1193","1314","32","10.6%","11.8%",".173",".245",".248",".329",".421",".337","111","-6.2","119.6","179.0","65.7","1009517"
"Edgar Martinez","Mariners","2055","8678","309","1219","1262","49","14.8%","13.9%",".204",".335",".312",".418",".515",".405","147","-21.0","500.5","-133.5","65.5","1086"
"Dwight Evans","- - -","2606","10569","385","1470","1384","78","13.2%","16.1%",".198",".295",".272",".370",".470",".375","129","-9.0","348.4","-68.6","65.1","1003865"
"Tony Gwynn","Padres","2440","10232","135","1383","1138","319","7.7%","4.2%",".120",".341",".338",".388",".459",".370","132","11.3","401.5","-92.2","65.0","1005166"
"Mike Trout","Angels","1065","4673","240","793","648","189","14.8%","21.4%",".267",".354",".307",".416",".573",".417","172","52.2","443.0","20.3","64.8","10155"
"Reggie Smith","- - -","1987","8050","314","1123","1092","137","11.1%","12.8%",".202",".295",".287",".366",".489",".379","137","-2.5","331.7","25.5","64.6","1012201"
"Lou Boudreau","- - -","1646","7023","68","861","789","51","11.3%","4.4%",".120",".303",".295",".380",".415",".375","122","-12.1","174.6","212.5","64.5","1001234"
"Jim Edmonds","- - -","2011","7980","393","1251","1199","67","12.5%","21.7%",".243",".324",".284",".376",".527",".385","132","-8.0","317.7","73.3","64.5","1153"
"Goose Goslin","- - -","2287","9822","248","1483","1609","175","9.7%","6.0%",".184",".318",".316",".387",".500",".402","127","-1.3","354.3","-43.2","64.0","1004893"
"Alan Trammell","Tigers","2293","9376","185","1231","1003","236","9.1%","9.3%",".130",".298",".285",".352",".415",".343","111","2.3","124.1","184.4","63.7","1013157"
"Yogi Berra","- - -","2120","8364","358","1175","1430","30","8.4%","4.9%",".198",".262",".285",".348",".482",".370","124","-1.0","244.2","109.7","63.7","1000898"
"Mike Piazza","- - -","1912","7745","427","1048","1335","17","9.8%","14.4%",".237",".314",".308",".377",".545",".390","140","-31.6","370.1","32.7","63.7","893"
"Roberto Alomar","- - -","2379","10400","210","1508","1134","474","9.9%","11.0%",".143",".321",".300",".371",".443",".359","118","41.6","272.5","15.8","63.6","860"
"Duke Snider","- - -","2143","8237","407","1259","1333","99","11.8%","15.0%",".244",".308",".295",".380",".540",".404","139","3.6","403.7","-45.7","63.5","1012230"
"Sherry Magee","- - -","2087","8546","83","1112","1176","441","8.6%","7.0%",".135",".308",".291",".364",".427",".381","134","33.2","352.5","-65.1","63.4","1007965"
"Ernie Banks","Cubs","2528","10395","512","1305","1636","50","7.3%","11.9%",".225",".267",".274",".330",".500",".359","118","-7.1","221.0","48.0","63.3","1000512"
"Zack Wheat","- - -","2410","9996","132","1289","1248","205","6.5%","5.7%",".134",".327",".317",".367",".450",".384","128","1.8","334.2","-55.2","63.1","1013828"
"Chase Utley","- - -","1937","7863","259","1103","1025","154","9.2%","15.2%",".190",".297",".275",".358",".465",".356","118","76.2","256.6","117.2","62.9","1679"
"Willie Stargell","Pirates","2360","9026","475","1195","1540","17","10.4%","21.4%",".247",".314",".282",".360",".529",".387","145","-0.8","457.5","-185.0","62.9","1012426"
"Bid McPhee","Red Stockings","2135","9409","53","1678","1067","568","10.4%","4.9%",".101",".290",".271",".355",".372",".350","108","30.0","143.5","193.1","62.7","1008675"
"Kenny Lofton","- - -","2103","9235","130","1528","781","622","10.2%","11.0%",".124",".326",".299",".372",".423",".352","109","68.5","181.3","139.4","62.4","246"
"Bobby Wallace","- - -","2383","9612","34","1057","1121","201","8.1%","11.2%",".090",".237",".268",".332",".358",".333","104","-26.2","18.4","257.5","62.4","1013542"
"Joe Torre","- - -","2209","8802","252","996","1185","23","8.9%","12.4%",".155",".318",".297",".365",".452",".364","129","-4.0","284.1","-9.8","62.3","1013133"
"Gary Sheffield","- - -","2576","10947","509","1636","1676","253","13.5%","10.7%",".222",".285",".292",".393",".514",".391","141","9.7","575.7","-300.9","62.1","114"
"Willie Randolph","- - -","2202","9461","54","1239","687","271","13.1%","7.1%",".076",".293",".276",".373",".351",".335","109","16.2","123.2","168.2","62.0","1010694"
"Buddy Bell","- - -","2405","10009","201","1151","1106","55","8.4%","7.8%",".127",".286",".279",".341",".406",".335","108","-19.6","73.4","200.9","61.7","1000799"
"Dick Allen","- - -","1749","7314","351","1099","1119","133","12.2%","21.3%",".242",".334",".292",".378",".534",".400","155","9.3","452.6","-152.2","61.3","1000137"
"Pee Wee Reese","Dodgers","2166","9470","126","1338","885","232","12.8%","9.4%",".108",".289",".269",".366",".377",".350","103","30.0","64.4","241.7","61.3","1010776"
"Jake Beckley","- - -","2386","10470","86","1600","1575","315","5.9%","5.5%",".128",".313",".308",".361",".435",".376","119","-25.0","265.8","10.3","61.2","1000754"
"Darrell Evans","- - -","2687","10737","414","1344","1354","99","14.9%","13.1%",".183",".250",".248",".361",".431",".355","120","-6.7","244.6","-13.5","61.2","1003864"
"Hank Greenberg","- - -","1394","6096","331","1051","1276","58","14.0%","13.8%",".292",".323",".313",".412",".605",".453","154","-2.3","443.8","-42.5","61.1","1004996"
"Ryne Sandberg","- - -","2164","9282","282","1318","1061","344","8.2%","13.6%",".167",".304",".285",".344",".452",".351","115","23.9","178.6","103.9","60.9","1011411"
"Joe Gordon","- - -","1566","6536","253","914","975","89","11.6%","10.7%",".197",".269",".268",".357",".466",".379","121","-9.3","159.2","209.5","60.6","1004874"
"Joe Jackson","- - -","1332","5690","54","873","785","202","9.1%","3.7%",".162",".351",".356",".423",".517",".443","165","-10.6","418.6","-49.1","60.5","1006301"
"Billy Williams","- - -","2488","10519","426","1410","1475","90","9.9%","9.9%",".202",".287",".290",".361",".492",".376","132","2.1","379.1","-181.2","60.4","1013975"
"Frank Baker","- - -","1575","6660","96","887","987","235","7.1%","4.4%",".135",".303",".307",".363",".442",".384","134","0.8","251.8","82.8","60.1","1000453"
"Sammy Sosa","- - -","2354","9896","609","1475","1667","234","9.4%","23.3%",".261",".301",".273",".344",".534",".370","124","-7.9","300.4","-8.1","60.1","302"
"Jack Glasscock","- - -","1736","7535","27","1163","825","372","5.8%","2.9%",".084",".293",".290",".337",".374",".336","110","18.3","127.5","251.2","60.1","1004757"
"Max Carey","- - -","2476","10770","70","1545","800","738","9.7%","6.5%",".101",".302",".285",".361",".386",".357","110","93.3","221.0","7.1","60.1","1001944"
"Dave Winfield","- - -","2973","12358","465","1669","1833","223","9.8%","13.6%",".192",".296",".283",".353",".475",".364","128","5.9","406.5","-243.9","59.9","1014127"
"Bobby Abreu","- - -","2425","10081","288","1453","1363","400","14.6%","18.3%",".183",".339",".291",".395",".475",".378","129","34.9","416.6","-141.3","59.8","945"
"Andre Dawson","- - -","2627","10768","438","1373","1591","314","5.5%","14.0%",".203",".288",".279",".323",".482",".350","117","18.8","230.5","-11.8","59.5","1003091"
"Keith Hernandez","- - -","2088","8553","162","1124","1071","98","12.5%","11.8%",".140",".322",".296",".384",".436",".365","131","-5.8","294.3","0.3","59.4","1005706"
"Tony Perez","- - -","2777","10861","379","1272","1652","49","8.5%","17.2%",".184",".308",".279",".341",".463",".356","121","-0.7","263.0","-75.1","58.9","1010188"
"Ichiro Suzuki","- - -","2651","10728","117","1420","780","509","6.0%","10.1%",".091",".338",".311",".355",".402",".328","104","96.0","158.6","59.9","57.9","1101"
"Richie Ashburn","- - -","2189","9736","29","1322","586","234","12.3%","5.9%",".074",".327",".308",".396",".382",".362","115","15.8","193.2","59.5","57.4","1000335"
"John Olerud","- - -","2234","9063","255","1139","1230","11","14.1%","11.2%",".170",".309",".295",".398",".465",".377","130","-19.6","322.1","-45.3","57.3","1093"
"Jackie Robinson","Dodgers","1382","5802","137","947","734","197","12.8%","5.0%",".162",".310",".311",".409",".474",".406","135","29.7","285.8","93.7","57.2","1011070"
"Bobby Bonds","- - -","1849","8090","332","1258","1024","460","11.3%","21.7%",".203",".310",".268",".353",".471",".368","130","28.9","303.9","-34.6","57.1","1001157"
"Bill Terry","Giants","1721","7111","154","1120","1078","56","7.6%","6.3%",".165",".350",".341",".393",".506",".407","137","7.8","356.5","4.1","57.0","1012927"
"Bob Johnson","- - -","1863","8047","288","1239","1283","96","13.4%","10.6%",".210",".305",".296",".393",".506",".411","133","-11.8","339.6","-54.2","57.0","1006428"
"Fred McGriff","- - -","2460","10174","493","1349","1550","72","12.8%","18.5%",".225",".309",".284",".377",".509",".383","134","-8.6","409.1","-186.3","56.9","293"
"Robin Ventura","- - -","2079","8271","294","1006","1182","24","13.0%","14.3%",".177",".281",".267",".362",".444",".351","113","-14.2","124.9","169.6","56.7","854"
"Jimmy Sheckard","- - -","2122","9118","56","1296","813","465","12.4%","10.0%",".104",".282",".274",".375",".378",".368","121","21.9","266.2","-27.1","56.7","1011843"
"Robinson Cano","- - -","2078","8841","311","1188","1233","51","6.6%","12.4%",".189",".319",".304",".355",".493",".362","127","-31.1","247.5","-1.0","56.5","3269"
"Sal Bando","- - -","2019","8288","242","982","1039","75","12.4%","11.1%",".155",".260",".254",".352",".408",".346","121","-0.3","194.4","70.4","56.2","1000505"
"Bill Dickey","Yankees","1789","7060","202","930","1209","37","9.6%","4.1%",".173",".304",".313",".382",".486",".396","126","-8.0","247.3","72.7","56.1","1003271"
"Elmer Flick","- - -","1483","6414","48","950","756","330","9.3%","",".132","",".313",".389",".445",".399","145","16.4","365.4","-41.8","56.0","1004158"
"Jeff Kent","- - -","2298","9537","377","1320","1518","94","8.4%","16.0%",".210",".311",".290",".356",".500",".367","123","-19.8","259.7","1.2","56.0","1119"
"Lance Berkman","- - -","1879","7814","366","1146","1234","86","15.4%","16.6%",".243",".315",".293",".406",".537",".400","144","-11.6","421.7","-110.0","55.9","548"
"Stan Hack","Cubs","1938","8506","57","1239","642","165","12.8%","5.5%",".096",".316",".301",".394",".397",".375","124","28.3","269.5","16.3","55.8","1005183"
"Willie Keeler","- - -","2123","9594","33","1719","810","495","5.5%","1.7%",".073",".375",".341",".388",".415",".383","124","13.3","345.0","-78.5","55.7","1006747"
"Ron Cey","- - -","2073","8344","316","977","1139","24","12.1%","14.8%",".184",".273",".261",".354",".445",".356","123","-5.8","208.4","46.5","55.6","1002108"
"Joey Votto","Reds","1575","6764","269","930","897","74","16.3%","17.6%",".219",".352",".311",".427",".530",".408","155","-27.1","420.3","-94.2","55.5","4314"
"Joe Tinker","- - -","1804","7145","31","774","782","336","5.8%","5.4%",".091",".297",".262",".308",".353",".319","96","25.6","-6.4","288.7","55.5","1013075"
"Luis Gonzalez","- - -","2591","10531","354","1412","1439","128","11.0%","11.6%",".196",".291",".283",".367",".479",".364","118","-19.4","229.0","-13.8","55.2","55"
"Billy Herman","- - -","1922","8641","47","1163","839","67","8.5%","5.0%",".103",".318",".304",".367",".407",".361","115","9.6","164.9","117.4","55.0","1005692"
"Joe Kelley","- - -","1853","8120","65","1421","1194","443","11.2%","5.9%",".134",".358",".317",".402",".451",".405","130","16.0","393.4","-67.7","54.9","1006776"
"Harry Stovey","- - -","1486","6832","122","1492","908","509","9.7%","9.4%",".173",".294",".289",".361",".461",".380","132","51.9","379.1","-27.7","54.9","1012586"
"Todd Helton","Rockies","2247","9453","369","1401","1406","37","14.1%","12.4%",".223",".330",".316",".414",".539",".405","132","-35.3","354.3","-97.7","54.9","432"
"Brian Giles","- - -","1847","7836","287","1121","1078","109","15.1%","10.7%",".212",".294",".291",".400",".502",".388","136","17.9","384.8","-80.8","54.8","990"
"Ken Boyer","- - -","2034","8268","282","1104","1141","105","8.6%","12.3%",".174",".299",".287",".349",".462",".355","116","-6.0","151.4","105.7","54.8","1001283"
"Norm Cash","- - -","2089","7910","377","1046","1103","43","13.2%","13.8%",".217",".273",".271",".374",".488",".382","139","-0.4","354.3","-72.9","54.6","1002043"
"Joe Medwick","- - -","1984","8142","205","1198","1383","42","5.4%","6.8%",".181",".329",".324",".362",".505",".393","133","5.0","334.7","-35.3","54.6","1008719"
"Vladimir Guerrero","- - -","2147","9059","449","1328","1496","181","8.1%","10.9%",".235",".316",".318",".379",".553",".390","136","-49.8","370.2","-115.0","54.5","778"
"Ted Simmons","- - -","2456","9685","248","1074","1389","21","8.8%","7.2%",".152",".284",".285",".348",".437",".347","116","-7.6","164.6","28.1","54.2","1011986"
"Russell Martin","- - -","1610","6399","185","774","751","100","11.9%","18.0%",".150",".283",".249",".349",".399",".332","105","-21.7","18.9","297.2","54.0","4616"
"Gabby Hartnett","- - -","1990","7297","236","867","1179","28","9.6%","9.6%",".192",".305",".297",".370",".489",".389","127","2.7","255.3","65.9","53.7","1005458"
"Willie Davis","- - -","2429","9822","182","1217","1053","398","4.3%","9.9%",".133",".293",".279",".311",".412",".321","105","32.4","87.7","90.7","53.7","1003088"
"Brian McCann","- - -","1670","6534","270","714","973","25","9.3%","15.3%",".191",".274",".263",".338",".454",".341","111","-58.3","31.3","280.0","53.4","4810"
"Bobby Doerr","Red Sox","1865","8028","223","1094","1247","54","10.1%","7.6%",".173",".290",".288",".362",".461",".380","115","-18.3","125.1","116.0","53.3","1003355"
"Kiki Cuyler","- - -","1878","8098","128","1305","1065","328","8.3%","9.3%",".152",".346",".321",".386",".474",".393","126","54.1","334.7","-45.1","52.9","1002914"
"Yadier Molina","Cardinals","1870","7203","146","656","859","60","6.7%","10.1%",".123",".297",".282",".334",".406",".323","100","-72.0","-75.6","357.9","52.8","7007"
"Jimmy Wynn","- - -","1920","8010","291","1105","964","225","15.3%","17.8%",".186",".274",".250",".366",".436",".362","130","9.9","274.5","-63.8","52.8","1014313"
"Jimmy Collins","- - -","1725","7452","65","1055","983","194","5.7%","3.9%",".115",".287",".294",".343",".409",".358","111","-13.1","95.1","171.7","52.5","1002455"
"Joe Mauer","Twins","1858","7960","143","1018","923","52","11.8%","13.0%",".132",".341",".306",".388",".439",".358","123","-5.0","214.9","32.4","52.5","1857"
"Harry Hooper","- - -","2309","10244","75","1429","817","375","11.1%","5.2%",".106",".294",".281",".368",".387",".363","116","-2.4","188.4","-30.5","52.3","1006002"
"Jim O'Rourke","- - -","1999","9051","62","1729","1203","224","5.6%","4.0%",".112",".319",".311",".352",".423",".360","127","-4.0","364.1","-104.6","52.1","1009839"
